0;-95;0N 95W
2;-95;2N 95W
4;-95;4N 95W
5;-95;5N 95W
8;-95;8N 95W
-2;-95;2S 95W
-5;-95;5S 95W
-8;-95;8S 95W
10;-95;10N 95W
12;-95;12N 95W
0;-110;0N 110W
2;-110;2N 110W
5;-110;5N 110W
8;-110;8N 110W
-2;-110;2S 110W
-5;-110;5S 110W
-8;-110;8S 110W
0;-125;0N 125W
2;-125;2N 125W
5;-125;5N 125W
8;-125;8N 125W
-2;-125;2S 125W
-5;-125;5S 125W
-8;-125;8S 125W
0;-140;0N 140W
2;-140;2N 140W
5;-140;5N 140W
7;-140;7N 140W
9;-140;9N 140W
-2;-140;2S 140W
-5;-140;5S 140W
0;-155;0N 155W
2;-155;2N 155W
5;-155;5N 155W
8;-155;8N 155W
-2;-155;2S 155W
-5;-155;5S 155W
-8;-155;8S 155W
0;-170;0N 170W
2;-170;2N 170W
5;-170;5N 170W
8;-170;8N 170W
-2;-170;2S 170W
-5;-170;5S 170W
-8;-170;8S 170W
0;-180;0N 180W
2;-180;2N 180W
5;-180;5N 180W
8;-180;8N 180W
-2;-180;2S 180W
-5;-180;5S 180W
-8;-180;8S 180W
0;165;0N 165E
2;165;2N 165E
5;165;5N 165E
8;165;8N 165E
-2;165;2S 165E
-5;165;5S 165E
-8;165;8S 165E
